T[s],sppa0001_21_Timestamp_Unit0,T[s],sppa0001_31_Timestamp_Unit0,T[s],sppa0001_41_Timestamp_Unit0,T[s],sppa0001_22_Timestamp_Unit0,T[s],sppa0001_32_Timestamp_Unit0,T[s],sppa0001_42_Timestamp_Unit0,T[s],sppa0001_23_Timestamp_Unit0,T[s],sppa0001_33_Timestamp_Unit0,T[s],sppa0001_43_Timestamp_Unit0
12.68308,NaN,7.35232,NaN,2.57788,NaN,29.66176,NaN,26.0594,NaN,26.12516,NaN,26.005,NaN,16.11772,NaN,16.24652,NaN
12.68552,NaN,7.921,NaN,2.58928,NaN,32.1962,NaN,26.06184,NaN,27.7256,NaN,26.00772,NaN,16.13448,NaN,18.3258,NaN
12.69204,NaN,8.83,NaN,5.74768,NaN,32.20888,NaN,26.1022,NaN,29.00836,NaN,26.01064,NaN,16.14324,NaN,18.93748,NaN
12.70964,NaN,8.99144,NaN,5.75428,NaN,32.21184,NaN,29.02572,NaN,29.02136,NaN,26.01308,NaN,16.157,NaN,19.31644,NaN
12.72116,NaN,9.35792,NaN,5.76184,NaN,32.23132,NaN,29.03424,NaN,29.0258,NaN,26.0306,NaN,16.16604,NaN,19.3224,NaN
12.85196,NaN,10.23496,NaN,10.23176,NaN,32.23688,NaN,29.04108,NaN,29.04284,NaN,26.03988,NaN,16.18392,NaN,19.3312,NaN
13.42572,NaN,10.2568,NaN,10.2608,NaN,32.26312,NaN,29.04616,NaN,29.05056,NaN,26.07432,NaN,16.19144,NaN,19.3376,NaN
14.44548,NaN,10.2654,NaN,10.27196,NaN,32.32932,NaN,29.0508,NaN,29.05416,NaN,26.09744,NaN,16.19392,NaN,19.33984,NaN
15.93956,NaN,10.27384,NaN,10.6348,NaN,32.5552,NaN,29.05296,NaN,29.05696,NaN,26.1786,NaN,16.19716,NaN,19.34312,NaN
16.13596,NaN,11.18568,NaN,11.02564,NaN,34.99688,NaN,29.06372,NaN,29.0598,NaN,26.79828,NaN,16.20184,NaN,19.34824,NaN
16.14972,NaN,11.35748,NaN,11.18288,NaN,35.19988,NaN,29.06588,NaN,29.07228,NaN,28.22812,NaN,16.20572,NaN,19.35116,NaN
16.1592,NaN,12.56256,NaN,12.53452,NaN,35.2084,NaN,29.0722,NaN,29.0798,NaN,28.2432,NaN,16.21424,NaN,19.35892,NaN
16.16336,NaN,12.56968,NaN,12.56424,NaN,35.21488,NaN,29.08836,NaN,29.08984,NaN,29.00952,NaN,16.21956,NaN,19.36108,NaN
16.1716,NaN,12.57304,NaN,12.56856,NaN,35.21856,NaN,29.09892,NaN,29.09504,NaN,29.03884,NaN,16.22628,NaN,19.38156,NaN
16.17536,NaN,12.5758,NaN,12.57364,NaN,35.22644,NaN,29.10636,NaN,29.09912,NaN,29.04568,NaN,16.22876,NaN,19.38484,NaN
16.18628,NaN,12.57928,NaN,12.57588,NaN,35.23104,NaN,29.10896,NaN,29.11536,NaN,29.04892,NaN,16.23348,NaN,19.38956,NaN
16.18856,NaN,12.58364,NaN,12.5802,NaN,35.23496,NaN,29.48188,NaN,29.12144,NaN,29.05532,NaN,16.24256,NaN,19.39348,NaN
16.19088,NaN,12.58684,NaN,12.58292,NaN,35.24848,NaN,32.21244,NaN,29.15208,NaN,29.05876,NaN,16.24496,NaN,19.41364,NaN
16.19508,NaN,12.59052,NaN,12.58636,NaN,35.25296,NaN,32.22036,NaN,29.25096,NaN,29.06816,NaN,16.25108,NaN,19.41908,NaN
16.1998,NaN,12.59336,NaN,12.58888,NaN,35.30428,NaN,32.224,NaN,29.60132,NaN,29.07032,NaN,16.25812,NaN,22.63936,NaN
16.20188,NaN,12.59568,NaN,12.59336,NaN,35.3296,NaN,32.22924,NaN,31.93388,NaN,29.07444,NaN,16.26984,NaN,22.64376,NaN
16.205,NaN,12.59856,NaN,12.59892,NaN,35.33796,NaN,32.23724,NaN,32.20672,NaN,29.08112,NaN,16.29332,NaN,22.65528,NaN
16.2132,NaN,12.60144,NaN,12.60132,NaN,35.34136,NaN,32.24048,NaN,32.21592,NaN,29.08484,NaN,18.57972,NaN,22.65972,NaN
16.21548,NaN,12.6046,NaN,12.60428,NaN,37.52952,NaN,32.2436,NaN,32.22036,NaN,29.0886,NaN,18.87912,NaN,22.66204,NaN
16.21824,NaN,12.60756,NaN,12.60796,NaN,38.68084,NaN,32.24824,NaN,32.224,NaN,29.09856,NaN,19.29048,NaN,22.66976,NaN
16.22084,NaN,12.60992,NaN,12.61036,NaN,38.68476,NaN,32.2598,NaN,32.227,NaN,29.11424,NaN,19.30492,NaN,22.67448,NaN
16.22844,NaN,12.61232,NaN,12.61524,NaN,38.68868,NaN,32.26308,NaN,32.22928,NaN,29.12792,NaN,19.31636,NaN,22.6788,NaN
16.23072,NaN,12.61512,NaN,12.61756,NaN,38.699,NaN,32.27928,NaN,32.24044,NaN,32.20008,NaN,19.32932,NaN,22.68256,NaN
16.24132,NaN,12.61836,NaN,12.62012,NaN,38.7066,NaN,32.28152,NaN,32.24388,NaN,32.20884,NaN,19.33904,NaN,22.68556,NaN
16.255,NaN,12.62364,NaN,12.62548,NaN,38.7144,NaN,35.18176,NaN,32.25232,NaN,32.21284,NaN,19.34488,NaN,22.68996,NaN
16.26308,NaN,12.6274,NaN,12.62912,NaN,38.71656,NaN,35.2022,NaN,32.26732,NaN,32.21944,NaN,19.34856,NaN,22.69844,NaN
16.26556,NaN,12.63152,NaN,12.63256,NaN,38.728,NaN,35.20548,NaN,32.2704,NaN,32.227,NaN,19.3512,NaN,22.70364,NaN
16.27112,NaN,12.63388,NaN,12.63596,NaN,38.73304,NaN,35.20824,NaN,32.32896,NaN,32.2336,NaN,19.35748,NaN,22.71352,NaN
19.30944,NaN,12.63664,NaN,12.6386,NaN,38.74108,NaN,35.212,NaN,34.52352,NaN,32.24232,NaN,19.36052,NaN,22.71592,NaN
19.31836,NaN,12.63916,NaN,12.64132,NaN,38.74796,NaN,35.2184,NaN,35.18752,NaN,32.2452,NaN,19.37484,NaN,22.7204,NaN
19.323,NaN,12.6426,NaN,12.64408,NaN,38.77208,NaN,35.22672,NaN,35.20812,NaN,32.24828,NaN,19.3878,NaN,22.72932,NaN
19.3308,NaN,12.64596,NaN,12.64668,NaN,38.77828,NaN,35.23424,NaN,35.21464,NaN,32.26916,NaN,19.39128,NaN,22.73328,NaN
19.33604,NaN,12.64812,NaN,12.64892,NaN,38.85576,NaN,35.23652,NaN,35.2204,NaN,32.28424,NaN,19.40048,NaN,22.73796,NaN
19.33956,NaN,12.65192,NaN,12.65172,NaN,38.85984,NaN,35.24392,NaN,35.22324,NaN,32.28796,NaN,19.42892,NaN,22.76456,NaN
